,ghsa_id,cve_id,url,html_url,summary,description,type,severity,repository_advisory_url,source_code_location,identifiers_0_value,identifiers_0_type,identifiers_1_value,identifiers_1_type,references,published_at,updated_at,github_reviewed_at,nvd_published_at,withdrawn_at,vulnerabilities_0_package_ecosystem,vulnerabilities_0_package_name,vulnerabilities_0_vulnerable_version_range,vulnerabilities_0_first_patched_version,vulnerabilities_0_vulnerable_functions,cvss_vector_string,cvss_score,cwes_0_cwe_id,cwes_0_name,credits,vulnerabilities_1_package_ecosystem,vulnerabilities_1_package_name,vulnerabilities_1_vulnerable_version_range,vulnerabilities_1_first_patched_version,vulnerabilities_1_vulnerable_functions,vulnerabilities_2_package_ecosystem,vulnerabilities_2_package_name,vulnerabilities_2_vulnerable_version_range,vulnerabilities_2_first_patched_version,vulnerabilities_2_vulnerable_functions,vulnerabilities_3_package_ecosystem,vulnerabilities_3_package_name,vulnerabilities_3_vulnerable_version_range,vulnerabilities_3_first_patched_version,vulnerabilities_3_vulnerable_functions,cwes_1_cwe_id,cwes_1_name,cwes,vulnerabilities_4_package_ecosystem,vulnerabilities_4_package_name,vulnerabilities_4_vulnerable_version_range,vulnerabilities_4_first_patched_version,vulnerabilities_4_vulnerable_functions,vulnerabilities_5_package_ecosystem,vulnerabilities_5_package_name,vulnerabilities_5_vulnerable_version_range,vulnerabilities_5_first_patched_version,vulnerabilities_5_vulnerable_functions,vulnerabilities_6_package_ecosystem,vulnerabilities_6_package_name,vulnerabilities_6_vulnerable_version_range,vulnerabilities_6_first_patched_version,vulnerabilities_6_vulnerable_functions,vulnerabilities_7_package_ecosystem,vulnerabilities_7_package_name,vulnerabilities_7_vulnerable_version_range,vulnerabilities_7_first_patched_version,vulnerabilities_7_vulnerable_functions,vulnerabilities_8_package_ecosystem,vulnerabilities_8_package_name,vulnerabilities_8_vulnerable_version_range,vulnerabilities_8_first_patched_version,vulnerabilities_8_vulnerable_functions,vulnerabilities_9_package_ecosystem,vulnerabilities_9_package_name,vulnerabilities_9_vulnerable_version_range,vulnerabilities_9_first_patched_version,vulnerabilities_9_vulnerable_functions,cwes_2_cwe_id,cwes_2_name,vulnerabilities_10_package_ecosystem,vulnerabilities_10_package_name,vulnerabilities_10_vulnerable_version_range,vulnerabilities_10_first_patched_version,vulnerabilities_10_vulnerable_functions,vulnerabilities_11_package_ecosystem,vulnerabilities_11_package_name,vulnerabilities_11_vulnerable_version_range,vulnerabilities_11_first_patched_version,vulnerabilities_11_vulnerable_functions,vulnerabilities_12_package_ecosystem,vulnerabilities_12_package_name,vulnerabilities_12_vulnerable_version_range,vulnerabilities_12_first_patched_version,vulnerabilities_12_vulnerable_functions,vulnerabilities_2_vulnerable_functions_0,cwes_3_cwe_id,cwes_3_name,cwes_4_cwe_id,cwes_4_name,vulnerabilities_13_package_ecosystem,vulnerabilities_13_package_name,vulnerabilities_13_vulnerable_version_range,vulnerabilities_13_first_patched_version,vulnerabilities_13_vulnerable_functions,vulnerabilities_14_package_ecosystem,vulnerabilities_14_package_name,vulnerabilities_14_vulnerable_version_range,vulnerabilities_14_first_patched_version,vulnerabilities_14_vulnerable_functions
10,GHSA-6xx7-r8x4-fpjp,CVE-2023-44765,https://api.github.com/advisories/GHSA-6xx7-r8x4-fpjp,https://github.com/advisories/GHSA-6xx7-r8x4-fpjp,ConcreteCMS Cross-site Scripting vulnerability,,reviewed,medium,,https://github.com/concretecms/concretecms,GHSA-6xx7-r8x4-fpjp,GHSA,CVE-2023-44765,CVE,,2023-10-06T15:30:19Z,2023-10-06T22:40:45Z,2023-10-06T18:42:28Z,,,composer,concrete5/concrete5,<= 9.2.1,,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,GHSA-p4jj-gwpg-9jwh,CVE-2023-44761,https://api.github.com/advisories/GHSA-p4jj-gwpg-9jwh,https://github.com/advisories/GHSA-p4jj-gwpg-9jwh,ConcreteCMS Cross-site Scripting vulnerability,,reviewed,medium,,https://github.com/concretecms/concretecms/,GHSA-p4jj-gwpg-9jwh,GHSA,CVE-2023-44761,CVE,,2023-10-06T15:30:19Z,2023-10-06T23:36:21Z,2023-10-06T18:41:21Z,,,composer,concrete5/concrete5,<= 9.2.1,,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GHSA-6fm3-r6mf-j875,CVE-2023-44762,https://api.github.com/advisories/GHSA-6fm3-r6mf-j875,https://github.com/advisories/GHSA-6fm3-r6mf-j875,ConcreteCMS Cross-site Scripting vulnerability,,reviewed,medium,,https://github.com/concretecms/concretecms/,GHSA-6fm3-r6mf-j875,GHSA,CVE-2023-44762,CVE,,2023-10-06T15:30:19Z,2023-10-06T23:36:22Z,2023-10-06T18:41:41Z,,,composer,concrete5/concrete5,<= 9.2.1,,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GHSA-j6h5-ggv2-3rfv,CVE-2023-44764,https://api.github.com/advisories/GHSA-j6h5-ggv2-3rfv,https://github.com/advisories/GHSA-j6h5-ggv2-3rfv,ConcreteCMS Cross-site Scripting vulnerability,,reviewed,medium,,https://github.com/concretecms/concretecms/,GHSA-j6h5-ggv2-3rfv,GHSA,CVE-2023-44764,CVE,,2023-10-06T15:30:19Z,2023-10-06T23:36:24Z,2023-10-06T18:42:02Z,,,composer,concrete5/concrete5,<= 9.2.1,,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,GHSA-93j4-v838-8767,CVE-2023-45023,https://api.github.com/advisories/GHSA-93j4-v838-8767,https://github.com/advisories/GHSA-93j4-v838-8767,TYPO3 extension femanager Broken Access Control vulnerability,,reviewed,medium,,https://github.com/in2code-de/femanager,GHSA-93j4-v838-8767,GHSA,CVE-2023-45023,CVE,,2023-10-04T17:57:18Z,2023-10-04T17:57:19Z,2023-10-04T17:57:18Z,,,composer,in2code/femanager,">= 7.0.0, < 7.2.2",7.2.2,[],,,CWE-287,Improper Authentication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,GHSA-56fm-hfp3-x3w3,,https://api.github.com/advisories/GHSA-56fm-hfp3-x3w3,https://github.com/advisories/GHSA-56fm-hfp3-x3w3,Wallabag user can disable 2FA unintentionally,,reviewed,medium,https://api.github.com/repos/wallabag/wallabag/security-advisories/GHSA-56fm-hfp3-x3w3,https://github.com/wallabag/wallabag,GHSA-56fm-hfp3-x3w3,GHSA,,,,2023-10-02T21:39:57Z,2023-10-02T21:39:59Z,2023-10-02T21:39:57Z,,,composer,wallabag/wallabag,">= 2.0.0-alpha.1, < 2.6.7",2.6.7,[],CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,4.3,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GHSA-39m3-cj8c-886r,CVE-2023-5323,https://api.github.com/advisories/GHSA-39m3-cj8c-886r,https://github.com/advisories/GHSA-39m3-cj8c-886r,Dolibarr Cross-site Scripting vulnerability,,reviewed,medium,,https://github.com/dolibarr/dolibarr,GHSA-39m3-cj8c-886r,GHSA,CVE-2023-5323,CVE,,2023-10-01T03:30:18Z,2023-10-02T23:26:40Z,2023-10-02T23:26:38Z,,,composer,dolibarr/dolibarr,< 18.0.0,18.0.0,[],CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,GHSA-j5ww-5xf4-hqm2,CVE-2023-5319,https://api.github.com/advisories/GHSA-j5ww-5xf4-hqm2,https://github.com/advisories/GHSA-j5ww-5xf4-hqm2,phpMyFAQ Cross-site Scripting vulnerability,,reviewed,high,,https://github.com/thorsten/phpmyfaq,GHSA-j5ww-5xf4-hqm2,GHSA,CVE-2023-5319,CVE,,2023-09-30T03:31:49Z,2023-10-02T20:21:46Z,2023-10-02T20:21:45Z,,,composer,thorsten/phpmyfaq,< 3.1.18,3.1.18,[],CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:H,8.3,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,GHSA-pp4w-g5p4-85p2,CVE-2023-5320,https://api.github.com/advisories/GHSA-pp4w-g5p4-85p2,https://github.com/advisories/GHSA-pp4w-g5p4-85p2,phpMyFAQ Cross-site Scripting vulnerability,,reviewed,critical,,https://github.com/thorsten/phpmyfaq,GHSA-pp4w-g5p4-85p2,GHSA,CVE-2023-5320,CVE,,2023-09-30T03:31:49Z,2023-10-02T20:22:14Z,2023-10-02T20:22:13Z,,,composer,thorsten/phpmyfaq,< 3.1.18,3.1.18,[],CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,9.0,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,GHSA-r657-3wqh-g2x9,CVE-2023-5318,https://api.github.com/advisories/GHSA-r657-3wqh-g2x9,https://github.com/advisories/GHSA-r657-3wqh-g2x9,Microweber uses hard coded credentials,,reviewed,medium,,https://github.com/microweber/microweber,GHSA-r657-3wqh-g2x9,GHSA,CVE-2023-5318,CVE,,2023-09-30T03:31:49Z,2023-10-02T20:18:10Z,2023-10-02T20:18:08Z,,,composer,microweber/microweber,<= 1.3.4,,[],CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:N/A:N,5.8,CWE-798,Use of Hard-coded Credentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,GHSA-5jwv-m8h3-69cg,CVE-2023-5317,https://api.github.com/advisories/GHSA-5jwv-m8h3-69cg,https://github.com/advisories/GHSA-5jwv-m8h3-69cg,phpMyFaq Cross-site Scripting vulnerability,,reviewed,medium,,https://github.com/thorsten/phpmyfaq,GHSA-5jwv-m8h3-69cg,GHSA,CVE-2023-5317,CVE,,2023-09-30T03:31:49Z,2023-10-02T20:15:40Z,2023-10-02T20:15:40Z,,,composer,thorsten/phpmyfaq,< 3.1.18,3.1.18,[],CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,6.3,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GHSA-58v7-58c2-qwm9,CVE-2023-5316,https://api.github.com/advisories/GHSA-58v7-58c2-qwm9,https://github.com/advisories/GHSA-58v7-58c2-qwm9,phpMyFAQ Cross-site Scripting vulnerability,,reviewed,critical,,https://github.com/thorsten/phpMyFAQ,GHSA-58v7-58c2-qwm9,GHSA,CVE-2023-5316,CVE,,2023-09-30T03:31:49Z,2023-10-02T20:20:25Z,2023-10-02T20:20:24Z,,,composer,thorsten/phpmyfaq,< 3.1.18,3.1.18,[],CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:L,9.1,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,GHSA-qcjg-hvg6-hxcp,CVE-2023-5227,https://api.github.com/advisories/GHSA-qcjg-hvg6-hxcp,https://github.com/advisories/GHSA-qcjg-hvg6-hxcp,phpMyFAQ allows unrestricted file types in image field,,reviewed,medium,,https://github.com/thorsten/phpmyfaq,GHSA-qcjg-hvg6-hxcp,GHSA,CVE-2023-5227,CVE,,2023-09-30T03:31:49Z,2023-10-02T20:20:58Z,2023-10-02T20:20:57Z,,,composer,thorsten/phpmyfaq,< 3.1.18,3.1.18,[],CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L,6.5,CWE-434,Unrestricted Upload of File with Dangerous Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GHSA-jm6m-4632-36hf,CVE-2023-43655,https://api.github.com/advisories/GHSA-jm6m-4632-36hf,https://github.com/advisories/GHSA-jm6m-4632-36hf,Composer Remote Code Execution vulnerability via web-accessible composer.phar,,reviewed,high,https://api.github.com/repos/composer/composer/security-advisories/GHSA-jm6m-4632-36hf,https://github.com/composer/composer,GHSA-jm6m-4632-36hf,GHSA,CVE-2023-43655,CVE,,2023-09-29T20:39:21Z,2023-10-04T16:55:05Z,2023-09-29T20:39:21Z,,,composer,composer/composer,< 1.10.27,1.10.27,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),,composer,composer/composer,">= 2.0.0, < 2.2.22",2.2.22,[],composer,composer/composer,">= 2.3.0, < 2.6.4",2.6.4,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GHSA-6jmf-2pfc-q9m7,CVE-2023-43663,https://api.github.com/advisories/GHSA-6jmf-2pfc-q9m7,https://github.com/advisories/GHSA-6jmf-2pfc-q9m7,"PrestaShop allows users to uninstall modules from backoffice, even with low rights",,reviewed,medium,https://api.github.com/repos/PrestaShop/PrestaShop/security-advisories/GHSA-6jmf-2pfc-q9m7,https://github.com/PrestaShop/PrestaShop,GHSA-6jmf-2pfc-q9m7,GHSA,CVE-2023-43663,CVE,,2023-09-28T16:27:33Z,2023-10-03T21:27:11Z,2023-09-28T16:27:33Z,,,composer,prestashop/prestashop,< 8.1.2,8.1.2,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3,CWE-269,Improper Privilege Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
